Soil Moisture (%),Soil Humidity (%),Rain Drop Level (mm),Temperature,Recommended Crop,Best ML Algorithm
48.45344149,72.96222685,22.01351692,39.57686563,Millets,Random Forest Classifier
41.37788067,57.23934643,243.8190148,20.1668027,Cotton,Decision Tree Classifier
18.70761961,84.68243245,173.8891711,39.13615484,Cotton,Decision Tree Classifier
9.39524513,54.57584641,70.72845386,14.36686743,Cotton,Decision Tree Classifier
35.79048619,68.13557717,268.4043523,11.22084317,Cotton,Decision Tree Classifier
24.80686222,44.98654862,13.57749416,10.98952181,Cotton,Decision Tree Classifier
10.49172057,86.09778151,60.54588246,23.94611112,Pulses,Random Forest Classifier
27.28296096,47.03852289,225.6140783,12.49012592,Cotton,Decision Tree Classifier
6.54748345,51.24484029,212.8133791,25.36503653,Cotton,Decision Tree Classifier
45.91941809,67.90670791,86.78150812,19.82501511,Pulses,Random Forest Classifier
16.64509917,78.20465001,18.60746261,20.06886977,Pulses,Random Forest Classifier
34.8135028,70.9675653,257.4234217,29.0682699,Wheat,Random Forest Classifier
19.02699842,51.60669564,94.10929142,14.89294018,Cotton,Decision Tree Classifier
28.40306095,40.04715213,58.71402448,32.99660111,Cotton,Decision Tree Classifier
29.60196257,77.85752902,154.8185467,27.46092759,Cotton,Decision Tree Classifier
13.3184505,89.2603663,273.0681598,37.44833887,Cotton,Decision Tree Classifier
48.63130825,80.49565602,13.06397335,20.94521961,Pulses,Random Forest Classifier
39.88097705,63.01033091,229.7412264,39.48144976,Cotton,Decision Tree Classifier
47.27745237,85.18836307,171.7419684,27.2748294,Rice,Random Forest Classifier
45.26723077,60.49238366,127.634735,39.20205869,Cotton,Decision Tree Classifier
31.90549905,66.24670421,223.2241332,10.81181962,Cotton,Decision Tree Classifier
46.48434058,63.85648837,289.7473273,31.83928967,Wheat,Random Forest Classifier
8.982162592,62.38119363,68.76186335,34.49864573,Cotton,Decision Tree Classifier
13.81922881,78.75953846,43.09420952,11.5951986,Cotton,Decision Tree Classifier
7.035228001,66.33844536,273.8645236,27.36908992,Cotton,Decision Tree Classifier
19.63986488,55.8358561,200.6859232,34.05826881,Cotton,Decision Tree Classifier
22.49047804,52.90790838,131.3958065,26.83116176,Cotton,Decision Tree Classifier
17.21070643,41.88736585,171.9778711,11.91440771,Cotton,Decision Tree Classifier
42.29318791,69.15975809,223.6841716,30.80341723,Wheat,Random Forest Classifier
21.0538997,51.49807077,231.9095696,11.81790744,Cotton,Decision Tree Classifier
17.64205294,47.4066961,275.9682542,34.52406685,Cotton,Decision Tree Classifier
29.42132374,72.69149819,128.0528367,11.2910255,Cotton,Decision Tree Classifier
11.34159012,74.06046289,88.02327301,14.12192143,Cotton,Decision Tree Classifier
41.09886413,77.60774461,191.89928,18.25322772,Rice,Random Forest Classifier
8.354778966,65.17884482,124.7183698,29.00094377,Cotton,Decision Tree Classifier
49.40991215,84.70273026,178.3795362,39.29077299,Cotton,Decision Tree Classifier
39.75101462,86.81713767,125.9957395,13.53468558,Cotton,Decision Tree Classifier
13.94220567,80.36854699,45.898736,14.28123008,Cotton,Decision Tree Classifier
5.248495271,71.7796741,140.8280255,21.0661119,Cotton,Decision Tree Classifier
41.69576428,55.18604768,207.2753466,35.08657413,Cotton,Decision Tree Classifier
36.80858047,89.14724608,239.7851423,24.01692858,Wheat,Random Forest Classifier
37.80532256,53.70680836,147.997883,19.64831801,Cotton,Decision Tree Classifier
39.7071656,50.1328461,49.57136706,26.83611497,Maize,Random Forest Classifier
8.332009328,62.10770569,124.4063129,17.81569592,Cotton,Decision Tree Classifier
21.13095778,42.84202854,235.8881787,22.03479722,Cotton,Decision Tree Classifier
10.21410768,88.92472323,123.8577812,19.97815448,Cotton,Decision Tree Classifier
43.83965416,69.42167782,208.9592381,34.12423067,Cotton,Decision Tree Classifier
33.04841571,67.84760458,152.1641045,37.72767179,Cotton,Decision Tree Classifier
19.89041112,72.78981399,72.36693753,32.78716576,Cotton,Decision Tree Classifier
7.860125763,64.85118239,238.8451524,23.17250728,Cotton,Decision Tree Classifier
18.99420448,41.60317585,25.26403622,25.13004932,Cotton,Decision Tree Classifier
19.63324949,70.61556444,157.4670848,13.75221082,Cotton,Decision Tree Classifier
37.83227803,75.80869385,62.66731027,32.40594133,Maize,Random Forest Classifier
33.69008621,60.83745303,20.11968856,27.89427038,Maize,Random Forest Classifier
44.92457342,77.8647786,150.8801811,37.07319988,Cotton,Decision Tree Classifier
26.24967163,51.35006497,149.8686468,16.01833431,Cotton,Decision Tree Classifier
10.38174107,51.06382955,212.0702705,32.79178366,Cotton,Decision Tree Classifier
37.09601543,48.07084938,223.4252079,30.54014985,Cotton,Decision Tree Classifier
39.23532719,58.59973799,218.3374466,17.97536601,Cotton,Decision Tree Classifier
30.25747389,82.35060177,122.8676199,30.02135919,Wheat,Random Forest Classifier
39.6935231,81.39560311,189.5069362,37.73120142,Cotton,Decision Tree Classifier
27.22080184,59.1412104,173.0835728,37.55307963,Cotton,Decision Tree Classifier
28.52297732,69.4559368,126.4685268,31.58879724,Cotton,Decision Tree Classifier
24.23934583,76.04081582,179.1638083,11.44219338,Cotton,Decision Tree Classifier
6.143860703,52.06033873,284.174363,36.16793012,Cotton,Decision Tree Classifier
9.855114215,48.40705429,57.8681231,29.73335821,Cotton,Decision Tree Classifier
6.414313356,88.60479966,271.7316287,19.3130276,Cotton,Decision Tree Classifier
33.63846851,70.87786566,16.03665419,15.61751085,Cotton,Decision Tree Classifier
19.14601915,89.07078609,92.51676387,13.48611589,Cotton,Decision Tree Classifier
27.8856811,56.88779936,86.44357458,11.50710698,Cotton,Decision Tree Classifier
45.84049133,75.151585,187.9095324,32.62309744,Cotton,Decision Tree Classifier
16.21815031,51.13018183,39.36748553,17.07528997,Cotton,Decision Tree Classifier
23.46723154,53.06000856,264.7042836,10.72758808,Cotton,Decision Tree Classifier
38.99980123,65.59510606,248.5654225,21.91811956,Wheat,Random Forest Classifier
15.29591745,55.98090628,195.6197459,24.47821242,Cotton,Decision Tree Classifier
8.464095942,48.38107819,137.5241495,15.07690693,Cotton,Decision Tree Classifier
18.03881538,53.1440351,279.8868126,11.32145008,Cotton,Decision Tree Classifier
12.25495793,41.78741972,249.2239664,15.67376449,Cotton,Decision Tree Classifier
46.83639436,75.22118107,149.7945444,30.37308286,Wheat,Random Forest Classifier
41.36541708,64.60583285,210.5620063,12.46731032,Cotton,Decision Tree Classifier
33.50316904,44.71215332,170.0789857,26.65111092,Cotton,Decision Tree Classifier
44.21572656,48.58469966,176.3826715,14.39235964,Cotton,Decision Tree Classifier
41.16524346,45.12672691,99.29282083,15.87067521,Cotton,Decision Tree Classifier
13.39565265,70.62964041,138.6253814,21.7923365,Cotton,Decision Tree Classifier
45.16515493,44.71051818,23.43642924,13.02476008,Cotton,Decision Tree Classifier
29.27040089,77.71411665,107.2046075,15.19610508,Cotton,Decision Tree Classifier
41.33480698,41.02554597,208.7485546,20.46857234,Cotton,Decision Tree Classifier
45.3241085,52.4687894,285.9648092,19.89007016,Cotton,Decision Tree Classifier
19.31015637,84.53333379,288.9192338,32.47814457,Cotton,Decision Tree Classifier
9.952336604,75.92656591,166.7168607,12.24346915,Cotton,Decision Tree Classifier
15.25708231,43.64841665,181.9866755,35.81352207,Cotton,Decision Tree Classifier
24.21985049,81.05630522,55.71635565,34.48696512,Cotton,Decision Tree Classifier
41.81066447,64.65175608,208.5924324,32.97974919,Cotton,Decision Tree Classifier
43.73287625,82.33915136,21.1976378,19.28117087,Pulses,Random Forest Classifier
5.312845874,70.03698872,85.40570574,34.68645357,Cotton,Decision Tree Classifier
27.98362862,74.0916516,200.5090042,15.48406241,Cotton,Decision Tree Classifier
23.78349514,89.67507802,93.09303946,13.73227618,Cotton,Decision Tree Classifier
14.99485147,51.6167773,14.95406223,11.34869,Cotton,Decision Tree Classifier
10.39394153,71.19727874,249.5611228,38.17931089,Cotton,Decision Tree Classifier
20.19268271,63.0160695,93.09900214,19.24032693,Pulses,Random Forest Classifier
47.43093668,41.97259765,18.93156746,37.52853641,Millets,Random Forest Classifier
19.54413194,40.72353208,22.43644935,18.17840685,Cotton,Decision Tree Classifier
28.34557798,45.96142889,75.52763964,37.22697878,Cotton,Decision Tree Classifier
36.63585315,72.45458703,53.40478417,37.11787159,Cotton,Decision Tree Classifier
21.36333211,68.3581544,232.2900353,37.71028135,Cotton,Decision Tree Classifier
48.73019372,67.67147806,96.505214,24.88460318,Maize,Random Forest Classifier
48.31012827,41.59283813,241.4087355,35.9783886,Cotton,Decision Tree Classifier
16.33020331,63.46514982,52.15379935,38.52297689,Cotton,Decision Tree Classifier
27.37618277,86.23114089,147.8637539,19.73850826,Cotton,Decision Tree Classifier
18.53952394,59.87959347,206.4111401,22.56623217,Cotton,Decision Tree Classifier
17.81782225,71.24612349,195.5972562,31.57720562,Cotton,Decision Tree Classifier
6.659912631,78.99093378,180.338823,19.01079465,Cotton,Decision Tree Classifier
32.43039503,79.19626396,277.4464806,32.61427927,Cotton,Decision Tree Classifier
27.62055605,65.96400412,68.55754431,12.21676436,Cotton,Decision Tree Classifier
7.316543806,82.89759727,148.1157613,25.70495153,Cotton,Decision Tree Classifier
17.53909089,59.56890467,265.197765,13.66940452,Cotton,Decision Tree Classifier
45.87196487,84.43466074,23.36812968,18.79970429,Pulses,Random Forest Classifier
15.78028508,52.01135832,16.76648048,17.75876177,Cotton,Decision Tree Classifier
11.52026924,54.01082035,69.99068627,35.16796221,Cotton,Decision Tree Classifier
27.02537421,42.65603121,189.9063659,15.80551766,Cotton,Decision Tree Classifier
49.35427043,79.77909183,77.96388793,34.2534376,Maize,Random Forest Classifier
15.89248722,60.85276181,57.07196514,33.81881038,Cotton,Decision Tree Classifier
35.24609963,51.4558307,137.6406946,24.96649167,Cotton,Decision Tree Classifier
39.27288269,51.58951388,184.0794206,17.01529767,Cotton,Decision Tree Classifier
15.69368948,85.06999706,74.56731211,16.8068902,Cotton,Decision Tree Classifier
37.76973569,81.69583002,90.20735602,23.94773941,Maize,Random Forest Classifier
21.55024097,67.67654427,184.0677914,10.26427022,Cotton,Decision Tree Classifier
33.45376238,70.80554002,283.7215266,25.94052264,Wheat,Random Forest Classifier
33.50883698,63.71627853,202.4225182,38.58338577,Cotton,Decision Tree Classifier
29.10986078,59.58332714,234.8712431,14.64120646,Cotton,Decision Tree Classifier
9.063039652,85.77384406,110.0430284,27.20036864,Cotton,Decision Tree Classifier
42.5886123,46.28063518,81.67630782,38.85336066,Cotton,Decision Tree Classifier
19.43510292,60.92233949,136.280323,35.81566418,Cotton,Decision Tree Classifier
13.39333297,57.2280954,242.1398486,35.51140349,Cotton,Decision Tree Classifier
6.83488137,64.90753601,136.8898925,34.65549791,Cotton,Decision Tree Classifier
31.59018244,62.88159373,254.0176226,19.27070818,Wheat,Random Forest Classifier
35.49039628,65.94447658,296.6315942,36.71850494,Cotton,Decision Tree Classifier
5.746452302,46.99594886,21.60799972,38.24021054,Cotton,Decision Tree Classifier
28.04418762,65.65707508,13.62304683,24.8737727,Maize,Random Forest Classifier
15.19230988,52.12094069,44.87691087,20.63713142,Pulses,Random Forest Classifier
34.03277557,49.21656745,115.3109027,22.42687047,Cotton,Decision Tree Classifier
12.84648931,43.24171094,39.31266274,20.02619325,Cotton,Decision Tree Classifier
36.09219821,78.13262794,261.1993433,16.37255326,Cotton,Decision Tree Classifier
22.40309058,61.37209604,6.943875308,28.55345411,Pulses,Random Forest Classifier
47.15284949,71.33218417,94.7378149,26.87790659,Maize,Random Forest Classifier
11.18844249,76.37966717,55.40838885,23.87755213,Pulses,Random Forest Classifier
20.3479858,73.96583327,279.461799,12.8753616,Cotton,Decision Tree Classifier
10.10630846,63.52503595,200.8443015,33.90678894,Cotton,Decision Tree Classifier
46.61121282,59.39492645,273.6090769,15.24800688,Cotton,Decision Tree Classifier
44.4802709,58.79799548,291.6986131,13.4368613,Cotton,Decision Tree Classifier
16.60737325,72.00243985,149.1294731,28.69214186,Cotton,Decision Tree Classifier
34.69928207,64.73971775,70.29573241,21.95933084,Pulses,Random Forest Classifier
41.77499901,82.4566124,58.11863586,11.79425426,Cotton,Decision Tree Classifier
29.98403652,83.73509922,66.87565851,20.66705065,Pulses,Random Forest Classifier
28.83427603,48.5280189,212.5779923,33.15341057,Cotton,Decision Tree Classifier
15.88335309,46.81168258,12.13371844,28.45747616,Cotton,Decision Tree Classifier
9.189624551,71.5200463,15.40832191,20.88358069,Cotton,Decision Tree Classifier
45.37470911,55.0612874,182.4428827,15.75414375,Cotton,Decision Tree Classifier
45.51881257,40.92853594,192.617144,28.95386862,Cotton,Decision Tree Classifier
33.48956558,84.43213347,199.5788773,36.62665903,Cotton,Decision Tree Classifier
20.2563406,51.34503836,111.5641514,29.38818154,Cotton,Decision Tree Classifier
20.71443086,86.46403258,241.7834666,34.38711564,Cotton,Decision Tree Classifier
37.66800555,75.87172254,160.0873763,25.64583516,Wheat,Random Forest Classifier
45.3699617,78.1326745,31.639689,31.5391332,Maize,Random Forest Classifier
44.91888909,50.07307479,239.1297921,36.88680321,Cotton,Decision Tree Classifier
40.09439956,51.70972128,285.9203359,33.19536935,Cotton,Decision Tree Classifier
33.89142408,66.06338769,18.0108939,37.2956186,Millets,Random Forest Classifier
8.786298425,48.60499263,117.4054016,22.93418806,Cotton,Decision Tree Classifier
12.27329213,55.27158463,146.2548135,37.12660765,Cotton,Decision Tree Classifier
45.43493848,56.0731239,43.94122802,28.64701703,Maize,Random Forest Classifier
32.28930768,47.98149666,260.3126843,36.10146298,Cotton,Decision Tree Classifier
5.413867323,50.25914167,85.24489347,11.18129591,Cotton,Decision Tree Classifier
9.566219429,79.4275921,234.902562,29.73557146,Cotton,Decision Tree Classifier
34.85757961,48.35979273,201.2983446,35.43925237,Cotton,Decision Tree Classifier
5.227771273,41.42286959,179.4137467,15.22606101,Cotton,Decision Tree Classifier
12.23636231,71.46774713,57.64285461,29.853608,Pulses,Random Forest Classifier
29.69302052,88.79915597,66.21105617,34.74864143,Maize,Random Forest Classifier
36.1352839,56.56069073,14.20452142,18.63848109,Pulses,Random Forest Classifier
34.33825668,45.93278516,72.21372893,22.15738984,Cotton,Decision Tree Classifier
15.09211893,68.51936627,103.6330828,27.08553155,Cotton,Decision Tree Classifier
37.04806496,85.31771055,249.9435912,25.57503067,Wheat,Random Forest Classifier
15.67620894,79.20308899,109.9178,11.17568179,Cotton,Decision Tree Classifier
19.64298642,71.12579342,226.3865348,12.96016294,Cotton,Decision Tree Classifier
38.59211323,55.75282483,131.8326844,13.01399738,Cotton,Decision Tree Classifier
34.23348046,67.09400866,235.4604936,17.86803716,Cotton,Decision Tree Classifier
43.21505347,44.56224207,292.8814801,17.37592338,Cotton,Decision Tree Classifier
34.59258015,73.94727121,71.95246742,32.26667151,Maize,Random Forest Classifier
30.57388715,76.25480094,258.7024836,27.18233158,Wheat,Random Forest Classifier
9.215364552,88.25158115,186.5472259,32.91928254,Cotton,Decision Tree Classifier
21.54721114,53.01986794,245.1882785,12.09688172,Cotton,Decision Tree Classifier
16.93410655,40.92282095,195.4757707,24.55642712,Cotton,Decision Tree Classifier
15.97953395,67.28042322,127.1848522,19.71326738,Cotton,Decision Tree Classifier
48.78547496,75.33952522,68.42248183,35.49817932,Cotton,Decision Tree Classifier
22.68939761,79.52037379,21.0105676,31.23367471,Millets,Random Forest Classifier
45.14209498,49.68694665,160.6555093,36.07775412,Cotton,Decision Tree Classifier
33.40123817,53.08764345,297.0978284,11.39281367,Cotton,Decision Tree Classifier
40.76650866,65.62954626,221.4125415,31.62470469,Wheat,Random Forest Classifier
27.61866919,56.5300405,98.20366242,26.20025056,Maize,Random Forest Classifier
30.96067481,83.02557433,248.16144,34.75000087,Cotton,Decision Tree Classifier
27.16329622,63.68800769,230.6952001,25.21481773,Cotton,Decision Tree Classifier
13.78593445,79.97893221,84.49073801,26.20627234,Pulses,Random Forest Classifier
37.51034519,69.03098802,4.292246938,11.55302143,Cotton,Decision Tree Classifier
17.63475631,78.65450708,35.44879156,30.05568595,Cotton,Decision Tree Classifier
6.094218489,56.63364933,263.1918571,18.19419627,Cotton,Decision Tree Classifier
34.04625332,81.5708311,250.9689106,10.59081767,Cotton,Decision Tree Classifier
12.96998057,53.72861578,88.56270026,11.99311488,Cotton,Decision Tree Classifier
47.3206363,67.3049404,85.55862789,38.71856827,Cotton,Decision Tree Classifier
47.92678597,50.70035566,237.8594961,20.38231869,Cotton,Decision Tree Classifier
46.16889756,63.77632608,281.321241,36.04226886,Cotton,Decision Tree Classifier
21.65714151,55.90876048,233.741177,38.79031702,Cotton,Decision Tree Classifier
5.695547744,53.33517153,181.6736031,38.29801567,Cotton,Decision Tree Classifier
46.77433532,88.3492509,72.8014051,36.45175722,Cotton,Decision Tree Classifier
24.26828667,48.00370527,157.7243742,36.84531737,Cotton,Decision Tree Classifier
48.49946686,79.36629187,70.05355758,18.67024133,Pulses,Random Forest Classifier
48.36289897,89.20824797,242.403426,14.54409671,Cotton,Decision Tree Classifier
43.3854255,40.99507419,116.0883239,29.17787686,Cotton,Decision Tree Classifier
18.25020014,74.9513707,250.1091651,24.64316776,Cotton,Decision Tree Classifier
22.32939779,52.64559028,114.4827654,12.96240156,Cotton,Decision Tree Classifier
43.30115022,42.02439122,247.2448216,30.32623948,Cotton,Decision Tree Classifier
19.26149023,60.14447895,99.99534455,26.88580022,Pulses,Random Forest Classifier
12.6271736,86.76089051,132.0398114,35.89202202,Cotton,Decision Tree Classifier
30.05605681,40.58825472,184.6465258,28.27551387,Cotton,Decision Tree Classifier
47.12696484,69.3942846,21.08628421,27.21838539,Maize,Random Forest Classifier
36.32134085,65.06982393,284.4621185,23.2225517,Wheat,Random Forest Classifier
30.65275265,83.66920822,172.0817358,23.8836121,Wheat,Random Forest Classifier
9.37294222,44.20008573,152.3460044,38.63143681,Cotton,Decision Tree Classifier
32.6753252,74.07630149,251.8181913,14.15338028,Cotton,Decision Tree Classifier
49.55242325,74.00548492,259.728819,23.38656456,Rice,Random Forest Classifier
11.30378069,73.45400084,156.6781214,29.67481702,Cotton,Decision Tree Classifier
28.32483436,87.11672475,278.1786977,22.99031937,Cotton,Decision Tree Classifier
44.48178824,81.15437645,19.42132982,18.49646881,Pulses,Random Forest Classifier
38.3345878,42.09863631,33.96773768,18.62072112,Cotton,Decision Tree Classifier
36.36570834,63.55414254,179.036469,17.00968139,Cotton,Decision Tree Classifier
36.61178378,59.89765281,106.2197585,20.31709602,Cotton,Decision Tree Classifier
21.1771018,55.50736105,139.2675499,36.15024327,Cotton,Decision Tree Classifier
18.21163299,62.56683626,98.42376537,25.15673651,Pulses,Random Forest Classifier
41.421252,59.20970925,121.4175934,17.20716184,Cotton,Decision Tree Classifier
41.45510276,61.61669499,246.7939041,21.53580151,Wheat,Random Forest Classifier
44.01825434,88.96309328,178.04286,13.17491236,Cotton,Decision Tree Classifier
46.09582487,44.43164874,299.2033648,37.12107219,Cotton,Decision Tree Classifier
28.01040795,86.11154349,236.0637593,22.24593496,Cotton,Decision Tree Classifier
27.56823326,64.01183567,82.09987623,39.41173614,Cotton,Decision Tree Classifier
40.92328305,71.18711227,79.30353532,20.4261632,Pulses,Random Forest Classifier
34.24837688,81.50914833,100.769481,35.09068142,Cotton,Decision Tree Classifier
36.58850948,58.02315146,252.9778442,17.6915594,Cotton,Decision Tree Classifier
40.81067012,61.5210954,8.186295195,12.2845868,Cotton,Decision Tree Classifier
45.05024038,60.47592401,69.05438366,10.95200085,Cotton,Decision Tree Classifier
20.20978206,58.73655113,271.4755261,28.1850528,Cotton,Decision Tree Classifier
21.90123287,86.27646608,191.9689308,19.34721015,Cotton,Decision Tree Classifier
9.229187293,81.44649456,68.05412865,23.30559641,Cotton,Decision Tree Classifier
31.02260634,45.44999949,65.74349047,34.55941107,Cotton,Decision Tree Classifier
6.617402321,45.40616762,258.7854305,17.44324257,Cotton,Decision Tree Classifier
25.95191082,61.39347574,268.1272525,19.2595743,Cotton,Decision Tree Classifier
29.41900856,44.93286884,76.83932729,35.36008555,Cotton,Decision Tree Classifier
17.89435635,70.95465476,126.1531074,24.7828682,Cotton,Decision Tree Classifier
31.58749673,47.18458036,250.3787216,34.82995501,Cotton,Decision Tree Classifier
6.372511247,66.1186632,231.3022316,21.2342801,Cotton,Decision Tree Classifier
6.680668494,40.36099735,244.174832,21.95109942,Cotton,Decision Tree Classifier
42.01702523,55.82981742,155.5194572,15.01415085,Cotton,Decision Tree Classifier
21.20857886,73.85953618,273.4647145,37.49037561,Cotton,Decision Tree Classifier
10.71772307,64.20194701,97.78546319,36.90351082,Cotton,Decision Tree Classifier
28.5009467,88.9134743,47.0016403,39.52651044,Millets,Random Forest Classifier
39.64970989,83.7051898,212.6196998,22.07341382,Wheat,Random Forest Classifier
14.71194624,57.95353895,161.8063248,34.55844825,Cotton,Decision Tree Classifier
33.03007141,42.27432707,256.3757306,22.44861195,Cotton,Decision Tree Classifier
8.840635925,82.28131501,24.34777474,23.62896367,Cotton,Decision Tree Classifier
7.325677453,85.56171552,253.107721,34.89998181,Cotton,Decision Tree Classifier
28.91095842,81.03136967,87.98839596,15.32100313,Cotton,Decision Tree Classifier
29.32858047,46.39749705,196.4567002,16.60932803,Cotton,Decision Tree Classifier
33.68434557,89.89575672,12.03863672,19.44184721,Pulses,Random Forest Classifier
37.67411002,52.92921108,182.8743889,33.64537098,Cotton,Decision Tree Classifier
48.91334358,76.21024564,215.1815068,21.17954648,Rice,Random Forest Classifier
28.23351567,85.40174382,110.6250644,20.74504625,Cotton,Decision Tree Classifier
19.53304128,51.78435572,64.62321158,39.96449036,Cotton,Decision Tree Classifier
40.78337876,85.41292773,161.289203,21.51418429,Rice,Random Forest Classifier
17.18745131,55.47407896,249.9572413,17.43311609,Cotton,Decision Tree Classifier
24.75371393,88.82066112,97.06420749,28.69641035,Pulses,Random Forest Classifier
8.53053716,54.06300102,75.74078926,34.05639856,Cotton,Decision Tree Classifier
6.140783454,87.67179124,83.68059259,12.08823501,Cotton,Decision Tree Classifier
48.31917866,42.67723254,284.7396459,28.56676693,Cotton,Decision Tree Classifier
42.61910542,75.46360058,107.7830747,11.07206368,Cotton,Decision Tree Classifier
36.31883927,66.60555669,1.081271966,25.78997053,Maize,Random Forest Classifier
23.4028825,63.89385386,234.5043624,17.70974691,Cotton,Decision Tree Classifier
12.7982444,51.17471571,209.7824386,19.19925093,Cotton,Decision Tree Classifier
12.03966692,75.27978949,38.57047938,24.01287892,Pulses,Random Forest Classifier
16.26093042,49.54047457,295.4712747,37.81322382,Cotton,Decision Tree Classifier
29.71519991,67.6420898,182.4186856,31.3200192,Cotton,Decision Tree Classifier
37.15681652,52.66226815,150.2338473,38.10536789,Cotton,Decision Tree Classifier
34.70888195,87.78106899,114.6657803,29.79913014,Wheat,Random Forest Classifier
17.59702536,41.43155969,269.6018267,10.21323241,Cotton,Decision Tree Classifier
47.96893763,49.98641401,73.18904443,17.96755592,Cotton,Decision Tree Classifier
38.20536125,52.11553032,85.73067007,37.17317733,Cotton,Decision Tree Classifier
29.94593236,60.70339129,36.72324201,29.30336563,Maize,Random Forest Classifier
32.52743358,51.63651209,227.7357287,39.4494171,Cotton,Decision Tree Classifier
23.88200281,64.56745451,178.6647841,14.67892058,Cotton,Decision Tree Classifier
16.14789453,83.62327616,182.7198508,18.90243499,Cotton,Decision Tree Classifier
21.01877054,75.60317107,65.54112931,20.87102979,Pulses,Random Forest Classifier
39.10307497,68.99809903,195.3505167,19.79673455,Wheat,Random Forest Classifier
5.647706988,44.4501589,229.6375342,17.5597459,Cotton,Decision Tree Classifier
10.22326882,74.69960542,107.3665592,23.30397147,Cotton,Decision Tree Classifier
7.070118891,48.32071422,240.4041432,29.2689437,Cotton,Decision Tree Classifier
6.832796104,79.3183693,104.6371766,19.33770769,Cotton,Decision Tree Classifier
43.49572628,52.50283793,227.4415385,12.3909977,Cotton,Decision Tree Classifier
36.66460367,60.85243642,10.11903224,31.25597581,Maize,Random Forest Classifier
26.33782231,57.52351012,165.3493804,23.77049667,Cotton,Decision Tree Classifier
9.402537229,82.94069573,290.8579682,26.69446918,Cotton,Decision Tree Classifier
27.12271438,46.32722294,294.3733802,23.66201971,Cotton,Decision Tree Classifier
26.30622969,68.28224412,84.5257735,36.7107251,Cotton,Decision Tree Classifier
12.79408415,47.10308047,132.4197273,26.76234991,Cotton,Decision Tree Classifier
24.52332422,75.23979181,18.8933724,37.6983052,Millets,Random Forest Classifier
22.93271305,85.25390639,262.0023923,25.31726025,Cotton,Decision Tree Classifier
32.71325441,61.73038269,170.5716459,18.77764487,Wheat,Random Forest Classifier
33.57921429,64.40461301,115.5302037,20.66327762,Wheat,Random Forest Classifier
7.03868044,86.37114182,33.83116755,25.66387881,Cotton,Decision Tree Classifier
21.85756766,66.04956943,284.0301856,25.89968313,Cotton,Decision Tree Classifier
33.16369621,64.3799219,159.0657143,30.62013105,Wheat,Random Forest Classifier
