SoilMoisture,Humidity,RainDrop,Temperature,N,P,K,pH,RecommendedCrop
0.0,0.0,0.0,29.4,108.0,72.0,73.0,7.2,Cotton
0.0,0.0,0.0,29.4,116.0,74.0,78.0,7.1,Cotton
0.0,0.0,0.0,29.4,101.0,52.0,67.0,7.3,Cotton
0.0,0.0,0.0,29.4,102.0,59.0,54.0,6.9,Cotton
0.0,0.0,0.0,29.4,89.0,68.0,82.0,7.2,Cotton
0.0,0.0,0.0,29.4,116.0,40.0,51.0,6.8,Cotton
0.0,0.0,0.0,29.4,74.0,67.0,85.0,7.1,Cotton
0.0,0.0,0.0,29.4,94.0,66.0,98.0,7.1,Cotton
0.0,0.0,0.0,29.4,86.0,63.0,72.0,7.2,Cotton
0.0,0.0,0.0,29.4,102.0,75.0,54.0,7.0,Cotton
0.0,0.0,0.0,29.4,118.0,58.0,56.0,7.4,Cotton
0.0,0.0,0.0,29.4,91.0,75.0,78.0,7.4,Cotton
0.0,0.0,0.0,29.4,104.0,49.0,52.0,7.2,Cotton
0.0,0.0,0.0,29.4,107.0,46.0,64.0,7.4,Cotton
0.0,0.0,0.0,29.4,118.0,62.0,74.0,7.1,Cotton
0.0,0.0,0.0,29.4,118.0,67.0,61.0,6.8,Cotton
0.0,0.0,0.0,29.4,102.0,61.0,59.0,7.0,Cotton
0.0,0.0,0.0,29.4,79.0,43.0,88.0,7.3,Cotton
0.0,0.0,0.0,29.4,92.0,63.0,50.0,7.4,Cotton
0.0,0.0,0.0,29.4,94.0,40.0,56.0,7.4,Cotton
0.0,0.0,0.0,29.4,75.0,42.0,98.0,7.3,Cotton
0.0,0.0,0.0,29.4,82.0,79.0,67.0,7.1,Cotton
0.0,0.0,0.0,29.4,88.0,68.0,84.0,7.2,Cotton
0.0,0.0,0.0,29.4,97.0,73.0,54.0,7.0,Cotton
0.0,0.0,0.0,29.4,75.0,48.0,57.0,7.0,Cotton
0.0,0.0,0.0,29.4,78.0,41.0,72.0,7.4,Cotton
0.0,0.0,0.0,29.4,70.0,75.0,58.0,7.4,Cotton
0.0,0.0,0.0,29.4,105.0,48.0,58.0,7.0,Cotton
0.0,0.0,0.0,29.4,82.0,78.0,77.0,7.4,Cotton
0.0,0.0,0.0,29.4,74.0,73.0,55.0,6.9,Cotton
0.0,0.0,0.0,29.4,72.0,57.0,64.0,7.2,Cotton
0.0,0.0,0.0,29.4,104.0,56.0,88.0,7.3,Cotton
0.0,0.0,0.0,29.4,81.0,77.0,67.0,7.4,Cotton
0.0,0.0,0.0,29.4,98.0,79.0,51.0,7.3,Cotton
0.0,0.0,0.0,29.4,83.0,58.0,59.0,7.0,Cotton
0.0,0.0,0.0,29.4,113.0,47.0,55.0,7.4,Cotton
0.0,0.0,0.0,29.4,105.0,59.0,64.0,7.3,Cotton
0.0,0.0,0.0,29.4,79.0,52.0,81.0,6.8,Cotton
0.0,0.0,0.0,29.4,90.0,66.0,66.0,6.9,Cotton
0.0,0.0,0.0,29.4,105.0,76.0,88.0,7.0,Cotton
0.0,0.0,0.0,29.4,73.0,68.0,89.0,7.1,Cotton
0.0,0.0,0.0,29.4,96.0,75.0,81.0,7.1,Cotton
0.0,0.0,0.0,29.4,77.0,61.0,96.0,7.2,Cotton
0.0,0.0,0.0,29.4,94.0,53.0,93.0,7.2,Cotton
0.0,0.0,0.0,29.4,110.0,54.0,86.0,7.1,Cotton
0.0,0.0,0.0,29.4,81.0,73.0,84.0,6.9,Cotton
0.0,0.0,0.0,29.4,75.0,70.0,50.0,7.3,Cotton
0.0,0.0,0.0,29.4,85.0,70.0,76.0,7.4,Cotton
0.0,0.0,0.0,29.4,101.0,71.0,61.0,7.3,Cotton
0.0,0.0,0.0,29.4,100.0,50.0,57.0,7.1,Cotton
0.0,0.0,0.0,29.4,79.0,74.0,97.0,6.9,Cotton
0.0,0.0,0.0,29.4,99.0,65.0,52.0,6.9,Cotton
0.0,0.0,0.0,29.4,105.0,74.0,72.0,6.9,Cotton
0.0,0.0,0.0,29.4,105.0,52.0,91.0,7.0,Cotton
0.0,0.0,0.0,29.4,111.0,79.0,88.0,7.2,Cotton
0.0,0.0,0.0,29.4,74.0,44.0,90.0,6.8,Cotton
0.0,0.0,0.0,29.4,87.0,46.0,71.0,7.4,Cotton
0.0,0.0,0.0,29.4,96.0,44.0,78.0,6.9,Cotton
0.0,0.0,0.0,29.4,98.0,70.0,84.0,7.3,Cotton
0.0,0.0,0.0,29.4,114.0,63.0,91.0,7.1,Cotton
0.0,0.0,0.0,29.4,106.0,64.0,88.0,7.4,Cotton
0.0,0.0,0.0,29.4,78.0,65.0,74.0,7.1,Cotton
0.0,0.0,0.0,29.4,95.0,42.0,76.0,7.5,Cotton
0.0,0.0,0.0,29.4,105.0,50.0,69.0,6.8,Cotton
0.0,0.0,0.0,29.4,113.0,66.0,64.0,7.4,Cotton
0.0,0.0,0.0,29.4,100.0,42.0,64.0,7.3,Cotton
0.0,0.0,0.0,29.4,91.0,46.0,76.0,7.0,Cotton
0.0,0.0,0.0,29.4,106.0,74.0,80.0,7.2,Cotton
0.0,0.0,0.0,29.4,91.0,62.0,73.0,7.0,Cotton
0.0,0.0,0.0,29.4,78.0,79.0,65.0,7.2,Cotton
0.0,0.0,0.0,29.4,70.0,79.0,77.0,7.2,Cotton
0.0,0.0,0.0,29.4,70.0,41.0,71.0,7.2,Cotton
0.0,0.0,0.0,29.4,97.0,50.0,79.0,7.4,Cotton
0.0,0.0,0.0,29.4,91.0,71.0,58.0,7.2,Cotton
0.0,0.0,0.0,29.4,112.0,53.0,78.0,7.1,Cotton
0.0,0.0,0.0,29.4,80.0,59.0,70.0,6.9,Cotton
0.0,0.0,0.0,29.4,88.0,66.0,72.0,7.2,Cotton
0.0,0.0,0.0,29.4,99.0,60.0,63.0,7.0,Cotton
0.0,0.0,0.0,29.4,82.0,67.0,95.0,7.0,Cotton
0.0,0.0,0.0,29.4,87.0,68.0,95.0,6.9,Cotton
0.0,0.0,0.0,29.4,118.0,79.0,51.0,7.3,Cotton
0.0,0.0,0.0,29.4,95.0,69.0,72.0,7.3,Cotton
0.0,0.0,0.0,29.4,91.0,44.0,82.0,7.1,Cotton
0.0,0.0,0.0,29.4,117.0,68.0,68.0,7.0,Cotton
0.0,0.0,0.0,29.4,82.0,75.0,69.0,7.1,Cotton
0.0,0.0,0.0,29.4,91.0,75.0,72.0,7.2,Cotton
0.0,0.0,0.0,29.4,94.0,70.0,68.0,7.1,Cotton
0.0,0.0,0.0,29.4,117.0,51.0,66.0,6.8,Cotton
0.0,0.0,0.0,29.4,111.0,77.0,91.0,7.3,Cotton
0.0,0.0,0.0,29.4,106.0,42.0,81.0,7.1,Cotton
0.0,0.0,0.0,29.4,118.0,74.0,72.0,7.1,Cotton
0.0,0.0,0.0,29.4,102.0,75.0,87.0,7.5,Cotton
0.0,0.0,0.0,29.4,118.0,67.0,79.0,6.9,Cotton
0.0,0.0,0.0,29.4,110.0,71.0,60.0,7.0,Cotton
0.0,0.0,0.0,29.4,90.0,54.0,97.0,7.2,Cotton
0.0,0.0,0.0,29.4,86.0,47.0,91.0,7.4,Cotton
0.0,0.0,0.0,29.4,81.0,58.0,75.0,6.9,Cotton
0.0,0.0,0.0,29.4,80.0,56.0,92.0,7.3,Cotton
0.0,0.0,0.0,29.4,94.0,44.0,79.0,7.4,Cotton
0.0,0.0,0.0,29.4,70.0,77.0,85.0,6.8,Cotton
0.0,0.0,0.0,29.4,75.0,66.0,85.0,7.0,Cotton
0.0,0.0,0.0,29.4,114.0,73.0,98.0,7.5,Cotton
0.0,0.0,0.0,29.4,78.0,47.0,70.0,7.1,Cotton
0.0,0.0,0.0,29.4,96.0,47.0,95.0,7.4,Cotton
0.0,0.0,0.0,29.4,86.0,48.0,87.0,7.4,Cotton
0.0,0.0,0.0,29.4,104.0,78.0,96.0,7.5,Cotton
0.0,0.0,0.0,29.4,97.0,72.0,99.0,7.0,Cotton
0.0,0.0,0.0,29.4,112.0,73.0,65.0,6.9,Cotton
0.0,0.0,0.0,29.4,113.0,56.0,98.0,7.2,Cotton
0.0,0.0,0.0,29.4,108.0,73.0,73.0,7.5,Cotton
0.0,0.0,0.0,29.4,112.0,69.0,54.0,7.2,Cotton
0.0,0.0,0.0,29.4,100.0,78.0,96.0,7.2,Cotton
0.0,0.0,0.0,29.4,107.0,74.0,99.0,7.4,Cotton
0.0,0.0,0.0,29.4,109.0,49.0,68.0,7.0,Cotton
0.0,0.0,0.0,29.4,88.0,46.0,85.0,7.0,Cotton
0.0,0.0,0.0,29.4,90.0,75.0,61.0,7.1,Cotton
0.0,0.0,0.0,29.4,95.0,51.0,83.0,6.9,Cotton
0.0,0.0,0.0,29.4,74.0,44.0,95.0,7.0,Cotton
0.0,0.0,0.0,29.4,74.0,40.0,94.0,6.8,Cotton
0.0,0.0,0.0,29.4,78.0,73.0,58.0,7.2,Cotton
0.0,0.0,0.0,29.4,97.0,43.0,93.0,7.3,Cotton
0.0,0.0,0.0,29.4,112.0,52.0,82.0,7.1,Cotton
0.0,0.0,0.0,29.4,118.0,62.0,67.0,7.1,Cotton
0.0,0.0,0.0,29.4,100.0,69.0,60.0,6.9,Cotton
0.0,0.0,0.0,29.4,118.0,41.0,72.0,7.5,Cotton
0.0,0.0,0.0,29.4,116.0,52.0,79.0,7.2,Cotton
0.0,0.0,0.0,29.4,113.0,75.0,80.0,7.4,Cotton
0.0,0.0,0.0,29.4,86.0,56.0,89.0,7.3,Cotton
0.0,0.0,0.0,29.4,84.0,56.0,83.0,7.3,Cotton
0.0,0.0,0.0,29.4,102.0,47.0,62.0,6.8,Cotton
0.0,0.0,0.0,29.4,79.0,48.0,89.0,7.0,Cotton
0.0,0.0,0.0,29.4,114.0,74.0,88.0,7.2,Cotton
0.0,0.0,0.0,29.4,79.0,50.0,56.0,7.3,Cotton
0.0,0.0,0.0,29.4,88.0,55.0,79.0,7.1,Cotton
0.0,0.0,0.0,29.4,89.0,64.0,94.0,7.3,Cotton
0.0,0.0,0.0,29.4,105.0,78.0,99.0,7.3,Cotton
0.0,0.0,0.0,29.4,89.0,74.0,90.0,6.9,Cotton
0.0,0.0,0.0,29.4,86.0,43.0,71.0,7.3,Cotton
0.0,0.0,0.0,29.4,76.0,59.0,96.0,7.4,Cotton
0.0,0.0,0.0,29.4,92.0,73.0,78.0,7.2,Cotton
0.0,0.0,0.0,29.4,101.0,63.0,56.0,6.8,Cotton
0.0,0.0,0.0,29.4,88.0,70.0,79.0,7.2,Cotton
0.0,0.0,0.0,29.4,80.0,67.0,96.0,6.8,Cotton
0.0,0.0,0.0,29.4,107.0,70.0,87.0,7.0,Cotton
0.0,0.0,0.0,29.4,107.0,46.0,52.0,7.3,Cotton
0.0,0.0,0.0,29.4,119.0,76.0,87.0,7.3,Cotton
0.0,0.0,0.0,29.4,95.0,78.0,57.0,7.3,Cotton
0.0,0.0,0.0,29.4,119.0,48.0,78.0,6.9,Cotton
0.0,0.0,0.0,29.4,99.0,48.0,99.0,7.4,Cotton
0.0,0.0,0.0,29.4,72.0,45.0,84.0,7.2,Cotton
0.0,0.0,0.0,29.4,74.0,44.0,66.0,6.8,Cotton
0.0,0.0,0.0,29.4,89.0,68.0,88.0,7.5,Cotton
0.0,0.0,0.0,29.4,85.0,58.0,80.0,7.2,Cotton
0.0,0.0,0.0,29.4,92.0,45.0,67.0,7.3,Cotton
0.0,0.0,0.0,29.4,102.0,55.0,53.0,7.1,Cotton
0.0,0.0,0.0,29.4,76.0,49.0,66.0,6.8,Cotton
0.0,0.0,0.0,29.4,78.0,79.0,53.0,7.2,Cotton
0.0,0.0,0.0,29.4,98.0,69.0,75.0,7.5,Cotton
0.0,0.0,0.0,29.4,114.0,65.0,88.0,7.4,Cotton
0.0,0.0,0.0,29.4,86.0,56.0,60.0,7.0,Cotton
0.0,0.0,0.0,29.4,102.0,65.0,71.0,7.0,Cotton
0.0,0.0,0.0,29.4,100.0,59.0,70.0,7.0,Cotton
0.0,0.0,0.0,29.4,109.0,51.0,84.0,6.8,Cotton
0.0,0.0,0.0,29.4,73.0,58.0,94.0,7.0,Cotton
0.0,0.0,0.0,29.4,90.0,53.0,83.0,6.9,Cotton
0.0,0.0,0.0,29.4,95.0,71.0,83.0,7.3,Cotton
0.0,0.0,0.0,29.4,101.0,51.0,91.0,7.4,Cotton
0.0,0.0,0.0,29.4,77.0,77.0,91.0,6.9,Cotton
0.0,0.0,0.0,29.4,95.0,69.0,68.0,7.5,Cotton
0.0,0.0,0.0,29.4,103.0,67.0,70.0,7.2,Cotton
0.0,0.0,0.0,29.4,74.0,64.0,55.0,6.9,Cotton
0.0,0.0,0.0,29.4,108.0,50.0,89.0,7.0,Cotton
0.0,0.0,0.0,29.4,103.0,52.0,57.0,7.5,Cotton
0.0,0.0,0.0,29.4,119.0,63.0,66.0,6.9,Cotton
0.0,0.0,0.0,29.4,98.0,40.0,57.0,7.0,Cotton
0.0,0.0,0.0,29.4,112.0,60.0,77.0,7.2,Cotton
0.0,0.0,0.0,29.4,88.0,78.0,94.0,7.4,Cotton
0.0,0.0,0.0,29.4,76.0,54.0,56.0,7.1,Cotton
0.0,0.0,0.0,29.4,85.0,53.0,51.0,7.0,Cotton
0.0,0.0,0.0,29.4,102.0,71.0,92.0,7.5,Cotton
0.0,0.0,0.0,29.4,95.0,46.0,64.0,7.2,Cotton
0.0,0.0,0.0,29.4,111.0,79.0,81.0,6.9,Cotton
0.0,0.0,0.0,29.4,87.0,72.0,88.0,7.1,Cotton
0.0,0.0,0.0,29.4,85.0,43.0,95.0,7.4,Cotton
0.0,0.0,0.0,29.4,75.0,58.0,65.0,7.4,Cotton
0.0,0.0,0.0,29.4,76.0,61.0,62.0,7.3,Cotton
0.0,0.0,0.0,29.4,83.0,55.0,87.0,7.3,Cotton
0.0,0.0,0.0,29.4,73.0,59.0,67.0,7.3,Cotton
0.0,0.0,0.0,29.4,94.0,75.0,56.0,7.2,Cotton
0.0,0.0,0.0,29.4,105.0,53.0,62.0,7.1,Cotton
0.0,0.0,0.0,29.4,92.0,60.0,82.0,7.5,Cotton
0.0,0.0,0.0,29.4,75.0,71.0,58.0,7.5,Cotton
0.0,0.0,0.0,29.4,99.0,54.0,52.0,6.9,Cotton
0.0,0.0,0.0,29.4,110.0,52.0,98.0,7.1,Cotton
0.0,0.0,0.0,29.4,108.0,46.0,55.0,7.3,Cotton
0.0,0.0,0.0,29.4,74.0,68.0,93.0,7.2,Cotton
0.0,0.0,0.0,29.4,72.0,62.0,53.0,7.1,Cotton
0.0,0.0,0.0,29.4,111.0,50.0,98.0,6.9,Cotton
0.0,0.0,0.0,29.4,74.0,60.0,95.0,7.3,Cotton
0.0,0.0,0.0,29.4,79.0,60.0,54.0,7.4,Cotton
0.0,0.0,0.0,29.4,111.0,45.0,86.0,7.5,Cotton
0.0,0.0,0.0,29.4,106.0,74.0,62.0,7.4,Cotton
0.0,0.0,0.0,29.4,115.0,60.0,86.0,7.2,Cotton
0.0,0.0,0.0,29.4,88.0,61.0,76.0,7.1,Cotton
0.0,0.0,0.0,29.4,111.0,64.0,98.0,7.2,Cotton
0.0,0.0,0.0,29.4,77.0,66.0,61.0,7.2,Cotton
0.0,0.0,0.0,29.4,92.0,52.0,99.0,6.9,Cotton
0.0,0.0,0.0,29.4,113.0,68.0,77.0,6.8,Cotton
0.0,0.0,0.0,29.4,110.0,65.0,60.0,6.9,Cotton
0.0,0.0,0.0,29.4,118.0,45.0,93.0,6.9,Cotton
0.0,0.0,0.0,29.4,115.0,43.0,96.0,7.2,Cotton
0.0,0.0,0.0,29.4,94.0,55.0,68.0,6.9,Cotton
0.0,0.0,0.0,29.4,98.0,57.0,50.0,6.9,Cotton
0.0,0.0,0.0,29.4,112.0,56.0,66.0,6.8,Cotton
0.0,0.0,0.0,29.4,117.0,51.0,87.0,7.1,Cotton
0.0,0.0,0.0,29.4,86.0,60.0,84.0,7.2,Cotton
0.0,0.0,0.0,29.4,113.0,55.0,80.0,7.1,Cotton
0.0,0.0,0.0,29.4,74.0,59.0,74.0,7.0,Cotton
0.0,0.0,0.0,29.4,77.0,40.0,65.0,6.9,Cotton
0.0,0.0,0.0,29.4,73.0,56.0,79.0,6.9,Cotton
0.0,0.0,0.0,29.4,102.0,76.0,58.0,7.4,Cotton
0.0,0.0,0.0,29.4,114.0,49.0,64.0,7.4,Cotton
0.0,0.0,0.0,29.4,114.0,79.0,90.0,7.2,Cotton
0.0,0.0,0.0,29.4,82.0,58.0,70.0,6.9,Cotton
0.0,0.0,0.0,29.4,81.0,56.0,56.0,7.4,Cotton
0.0,0.0,0.0,29.4,83.0,56.0,92.0,7.0,Cotton
0.0,0.0,0.0,29.4,94.0,50.0,78.0,7.0,Cotton
0.0,0.0,0.0,29.4,95.0,52.0,54.0,7.4,Cotton
0.0,0.0,0.0,29.4,76.0,40.0,71.0,6.9,Cotton
0.0,0.0,0.0,29.4,81.0,65.0,63.0,7.2,Cotton
0.0,0.0,0.0,29.4,99.0,40.0,63.0,7.2,Cotton
0.0,0.0,0.0,29.4,111.0,45.0,53.0,7.2,Cotton
0.0,0.0,0.0,29.4,93.0,42.0,74.0,7.2,Cotton
0.0,0.0,0.0,29.4,114.0,40.0,75.0,7.1,Cotton
0.0,0.0,0.0,29.4,98.0,60.0,75.0,6.9,Cotton
0.0,0.0,0.0,29.4,115.0,54.0,59.0,7.3,Cotton
0.0,0.0,0.0,29.4,81.0,71.0,97.0,7.3,Cotton
0.0,0.0,0.0,29.4,88.0,63.0,92.0,7.4,Cotton
0.0,0.0,0.0,29.4,79.0,76.0,78.0,7.2,Cotton
0.0,0.0,0.0,29.4,98.0,58.0,56.0,7.3,Cotton
0.0,0.0,0.0,29.4,80.0,51.0,99.0,7.1,Cotton
0.0,0.0,0.0,29.4,77.0,76.0,83.0,7.4,Cotton
0.0,0.0,0.0,29.4,114.0,50.0,53.0,7.4,Cotton
0.0,0.0,0.0,29.4,88.0,68.0,78.0,7.0,Cotton
0.0,0.0,0.0,29.4,115.0,74.0,93.0,7.3,Cotton
0.0,0.0,0.0,29.4,70.0,50.0,78.0,6.8,Cotton
0.0,0.0,0.0,29.4,71.0,78.0,91.0,7.0,Cotton
0.0,0.0,0.0,29.4,70.0,49.0,50.0,7.2,Cotton
0.0,0.0,0.0,29.4,75.0,48.0,51.0,7.2,Cotton
0.0,0.0,0.0,29.4,78.0,42.0,59.0,7.5,Cotton
0.0,0.0,0.0,29.4,106.0,72.0,89.0,7.2,Cotton
0.0,0.0,0.0,29.4,113.0,51.0,90.0,7.4,Cotton
0.0,0.0,0.0,29.4,83.0,63.0,98.0,7.3,Cotton
0.0,0.0,0.0,29.4,98.0,49.0,55.0,7.1,Cotton
0.0,0.0,0.0,29.4,103.0,62.0,79.0,7.0,Cotton
0.0,0.0,0.0,29.4,117.0,55.0,97.0,6.9,Cotton
0.0,0.0,0.0,29.4,106.0,75.0,77.0,7.4,Cotton
0.0,0.0,0.0,29.4,110.0,60.0,53.0,6.9,Cotton
0.0,0.0,0.0,29.4,109.0,78.0,53.0,7.3,Cotton
0.0,0.0,0.0,29.4,75.0,56.0,61.0,7.3,Cotton
0.0,0.0,0.0,29.4,119.0,69.0,94.0,6.8,Cotton
0.0,0.0,0.0,29.4,95.0,66.0,56.0,7.0,Cotton
0.0,0.0,0.0,29.4,80.0,61.0,83.0,7.1,Cotton
0.0,0.0,0.0,29.4,82.0,70.0,77.0,7.2,Cotton
0.0,0.0,0.0,29.4,99.0,40.0,92.0,7.3,Cotton
0.0,0.0,0.0,29.4,79.0,51.0,81.0,7.1,Cotton
0.0,0.0,0.0,29.4,88.0,60.0,55.0,7.3,Cotton
0.0,0.0,0.0,29.4,97.0,69.0,97.0,7.1,Cotton
0.0,0.0,0.0,29.4,107.0,51.0,64.0,7.0,Cotton
0.0,0.0,0.0,29.4,72.0,56.0,73.0,6.9,Cotton
0.0,0.0,0.0,29.4,74.0,75.0,65.0,6.9,Cotton
0.0,0.0,0.0,29.4,101.0,63.0,82.0,7.5,Cotton
0.0,0.0,0.0,29.4,114.0,67.0,67.0,7.2,Cotton
0.0,0.0,0.0,29.4,101.0,49.0,54.0,6.9,Cotton
0.0,0.0,0.0,29.4,79.0,52.0,60.0,7.2,Cotton
0.0,0.0,0.0,29.4,87.0,43.0,58.0,7.4,Cotton
0.0,0.0,0.0,29.4,74.0,77.0,51.0,6.8,Cotton
0.0,0.0,0.0,29.4,114.0,71.0,79.0,7.0,Cotton
0.0,0.0,0.0,29.4,87.0,56.0,70.0,7.0,Cotton
0.0,0.0,0.0,29.4,119.0,50.0,80.0,7.1,Cotton
0.0,0.0,0.0,29.4,99.0,50.0,54.0,6.9,Cotton
0.0,0.0,0.0,29.4,100.0,59.0,97.0,7.3,Cotton
0.0,0.0,0.0,29.4,88.0,49.0,99.0,6.9,Cotton
0.0,0.0,0.0,29.4,108.0,79.0,85.0,7.4,Cotton
0.0,0.0,0.0,29.4,112.0,50.0,89.0,7.3,Cotton
0.0,0.0,0.0,29.4,94.0,66.0,75.0,7.1,Cotton
0.0,0.0,0.0,29.4,100.0,78.0,68.0,7.3,Cotton
0.0,0.0,0.0,29.4,90.0,48.0,81.0,6.9,Cotton
0.0,0.0,0.0,29.4,76.0,69.0,58.0,7.5,Cotton
0.0,0.0,0.0,29.4,76.0,65.0,91.0,7.2,Cotton
0.0,0.0,0.0,29.4,81.0,45.0,56.0,6.9,Cotton
0.0,0.0,0.0,29.4,94.0,42.0,87.0,6.9,Cotton
0.0,0.0,0.0,29.4,117.0,46.0,66.0,6.8,Cotton
0.0,0.0,0.0,29.4,86.0,75.0,62.0,7.2,Cotton
0.0,0.0,0.0,29.4,116.0,74.0,50.0,7.0,Cotton
0.0,0.0,0.0,29.4,84.0,79.0,61.0,7.4,Cotton
0.0,0.0,0.0,29.4,115.0,42.0,58.0,7.5,Cotton
0.0,0.0,0.0,29.4,72.0,64.0,56.0,6.9,Cotton
0.0,0.0,0.0,29.4,78.0,48.0,56.0,7.1,Cotton
0.0,0.0,0.0,29.4,116.0,65.0,52.0,7.4,Cotton
0.0,0.0,0.0,29.4,101.0,59.0,89.0,6.8,Cotton
0.0,0.0,0.0,29.4,85.0,50.0,87.0,7.4,Cotton
0.0,0.0,0.0,29.4,98.0,46.0,63.0,7.5,Cotton
0.0,0.0,0.0,29.4,93.0,52.0,85.0,7.4,Cotton
0.0,0.0,0.0,29.4,70.0,49.0,55.0,7.5,Cotton
0.0,0.0,0.0,29.4,72.0,74.0,71.0,7.1,Cotton
0.0,0.0,0.0,29.4,92.0,73.0,58.0,7.3,Cotton
0.0,0.0,0.0,29.4,87.0,49.0,99.0,7.3,Cotton
0.0,0.0,0.0,29.4,73.0,49.0,70.0,7.1,Cotton
0.0,0.0,0.0,29.4,70.0,77.0,50.0,7.2,Cotton
0.0,0.0,0.0,29.4,76.0,53.0,87.0,7.1,Cotton
0.0,0.0,0.0,29.4,91.0,76.0,98.0,7.3,Cotton
0.0,0.0,0.0,29.4,71.0,72.0,71.0,7.1,Cotton
0.0,0.0,0.0,29.4,78.0,47.0,85.0,6.9,Cotton
0.0,0.0,0.0,29.4,79.0,47.0,66.0,7.3,Cotton
0.0,0.0,0.0,29.4,100.0,49.0,98.0,7.3,Cotton
0.0,0.0,0.0,29.4,72.0,53.0,52.0,7.5,Cotton
0.0,0.0,0.0,29.4,110.0,61.0,81.0,7.1,Cotton
0.0,0.0,0.0,29.4,87.0,58.0,75.0,6.9,Cotton
0.0,0.0,0.0,29.4,92.0,64.0,58.0,7.0,Cotton
0.0,0.0,0.0,29.4,115.0,42.0,71.0,6.9,Cotton
0.0,0.0,0.0,29.4,70.0,78.0,93.0,6.9,Cotton
0.0,0.0,0.0,29.4,110.0,48.0,89.0,7.3,Cotton
0.0,0.0,0.0,29.4,98.0,42.0,93.0,7.0,Cotton
0.0,0.0,0.0,29.4,79.0,53.0,66.0,7.2,Cotton
0.0,0.0,0.0,29.4,71.0,79.0,81.0,7.1,Cotton
0.0,0.0,0.0,29.4,110.0,67.0,96.0,7.4,Cotton
0.0,0.0,0.0,29.4,92.0,65.0,80.0,7.3,Cotton
0.0,0.0,0.0,29.4,106.0,75.0,55.0,7.4,Cotton
0.0,0.0,0.0,29.4,83.0,69.0,55.0,7.1,Cotton
0.0,0.0,0.0,29.4,87.0,53.0,87.0,7.1,Cotton
0.0,0.0,0.0,29.4,74.0,65.0,81.0,6.8,Cotton
0.0,0.0,0.0,29.4,91.0,77.0,97.0,7.1,Cotton
0.0,0.0,0.0,29.4,114.0,77.0,62.0,6.9,Cotton
0.0,0.0,0.0,29.4,117.0,58.0,94.0,7.2,Cotton
0.0,0.0,0.0,29.4,84.0,67.0,53.0,7.4,Cotton
